Total household size,annotation_Acceptance by others,annotation_Access to area,annotation_Access to finance,annotation_Accessibility to services,annotation_Aesthetics,annotation_Altruism,annotation_Appeal (senses),annotation_Aspiration,annotation_Asset,annotation_Availability of goods/products,annotation_Barter trade,annotation_Being healthy,annotation_Being informed,annotation_Being understood,annotation_Caring for others,annotation_Clean Air,annotation_Collaboration,annotation_Comfort,annotation_Community development,annotation_Connection,annotation_Consensus,annotation_Continuous costs,annotation_Diversity,annotation_Duty (role fulfilling),annotation_Ease of use,annotation_Entertainment,annotation_Entrepreneurship,annotation_Equality,annotation_Faith,annotation_Fixed costs,annotation_Food Security,annotation_Freedom of choice,annotation_Freedom of expression,annotation_Freedom to move,annotation_Home (feeling),annotation_Hygiene & Sanitation,annotation_Income,annotation_Innovation,annotation_Knowledge attainment (learning),annotation_Medical treatment,annotation_Mental health,annotation_Morality,annotation_Multipurpose,annotation_Ownership,annotation_Personal growth,annotation_Personal performance,annotation_Practical skill attainment,annotation_Preservation of natural environment,annotation_Privacy,annotation_Quality,annotation_Recreation,annotation_Reliability,annotation_Respect from others,"annotation_Safety (from animals, items, nature)",annotation_Security (from people),annotation_Self-worth,annotation_Shelter,annotation_Support network,annotation_Time benefit,annotation_Time management,annotation_Togetherness (loved ones),annotation_Tradition,annotation_Transportation (of goods),annotation_Travel (of people),annotation_Trust,annotation_Unburden,annotation_Understanding others,annotation_Water Security,annotation_Wellbeing,annotation_Yield
1.0,0.0,0.04,0.04,0.16,0.04,0.04,0.0,0.0,0.0,0.08,0.08,0.04,0.2,0.0,0.0,0.04,0.0,0.08,0.0,0.2,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.04,0.28,0.0,0.04,0.0,0.0,0.04,0.08,0.0,0.08,0.04,0.0,0.08,0.24,0.0,0.0,0.08,0.0,0.2,0.12,0.12,0.0,0.12,0.0,0.28,0.16,0.0,0.24,0.08,0.04,0.04,0.0,0.0,0.08,0.04,0.04,0.0,0.0,0.24,0.04,0.2
2.0,0.0,0.02631578947368421,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.0,0.0,0.0,0.02631578947368421,0.07894736842105263,0.0,0.05263157894736842,0.02631578947368421,0.0,0.0,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.13157894736842105,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.07894736842105263,0.18421052631578946,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.02631578947368421,0.05263157894736842,0.18421052631578946,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.13157894736842105,0.02631578947368421,0.05263157894736842,0.0,0.05263157894736842,0.02631578947368421,0.13157894736842105,0.05263157894736842,0.0,0.05263157894736842,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.0,0.0,0.05263157894736842,0.0,0.15789473684210525,0.0,0.05263157894736842
3.0,0.0,0.010752688172043012,0.043010752688172046,0.11827956989247312,0.07526881720430108,0.010752688172043012,0.0,0.0,0.03225806451612903,0.07526881720430108,0.043010752688172046,0.11827956989247312,0.1827956989247312,0.010752688172043012,0.021505376344086023,0.043010752688172046,0.0,0.053763440860215055,0.03225806451612903,0.2903225806451613,0.0,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.03225806451612903,0.021505376344086023,0.0,0.0,0.1935483870967742,0.053763440860215055,0.3118279569892473,0.0,0.010752688172043012,0.0,0.0,0.07526881720430108,0.08602150537634409,0.021505376344086023,0.11827956989247312,0.11827956989247312,0.010752688172043012,0.021505376344086023,0.23655913978494625,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.06451612903225806,0.17204301075268819,0.11827956989247312,0.07526881720430108,0.010752688172043012,0.06451612903225806,0.0,0.3225806451612903,0.10752688172043011,0.010752688172043012,0.24731182795698925,0.03225806451612903,0.010752688172043012,0.043010752688172046,0.010752688172043012,0.010752688172043012,0.10752688172043011,0.07526881720430108,0.0,0.053763440860215055,0.010752688172043012,0.24731182795698925,0.03225806451612903,0.0967741935483871
4.0,0.006493506493506494,0.045454545454545456,0.07142857142857142,0.16233766233766234,0.06493506493506493,0.0,0.0,0.01948051948051948,0.03896103896103896,0.09740259740259741,0.03896103896103896,0.17532467532467533,0.18181818181818182,0.0,0.03896103896103896,0.07142857142857142,0.0,0.08441558441558442,0.032467532467532464,0.2532467532467532,0.006493506493506494,0.07792207792207792,0.0,0.032467532467532464,0.01948051948051948,0.03896103896103896,0.05844155844155844,0.0,0.15584415584415584,0.07792207792207792,0.34415584415584416,0.006493506493506494,0.006493506493506494,0.0,0.012987012987012988,0.1038961038961039,0.14935064935064934,0.032467532467532464,0.15584415584415584,0.1038961038961039,0.03896103896103896,0.06493506493506493,0.2792207792207792,0.025974025974025976,0.032467532467532464,0.025974025974025976,0.07792207792207792,0.2662337662337662,0.1038961038961039,0.11038961038961038,0.006493506493506494,0.12337662337662338,0.012987012987012988,0.3181818181818182,0.11038961038961038,0.012987012987012988,0.24025974025974026,0.12337662337662338,0.012987012987012988,0.01948051948051948,0.01948051948051948,0.012987012987012988,0.07142857142857142,0.1038961038961039,0.0,0.12337662337662338,0.032467532467532464,0.3246753246753247,0.012987012987012988,0.16883116883116883
5.0,0.0,0.028901734104046242,0.057803468208092484,0.11560693641618497,0.09826589595375723,0.011560693641618497,0.005780346820809248,0.023121387283236993,0.023121387283236993,0.08670520231213873,0.023121387283236993,0.08092485549132948,0.14450867052023122,0.0,0.06358381502890173,0.05202312138728324,0.0,0.06936416184971098,0.017341040462427744,0.23121387283236994,0.0,0.057803468208092484,0.0,0.011560693641618497,0.04046242774566474,0.05202312138728324,0.08092485549132948,0.0,0.16184971098265896,0.09248554913294797,0.2947976878612717,0.0,0.0,0.0,0.011560693641618497,0.10982658959537572,0.12716763005780346,0.028901734104046242,0.12138728323699421,0.09248554913294797,0.023121387283236993,0.057803468208092484,0.2658959537572254,0.011560693641618497,0.028901734104046242,0.057803468208092484,0.09826589595375723,0.2138728323699422,0.12716763005780346,0.09826589595375723,0.011560693641618497,0.09826589595375723,0.017341040462427744,0.3352601156069364,0.08092485549132948,0.011560693641618497,0.27167630057803466,0.10404624277456648,0.011560693641618497,0.017341040462427744,0.005780346820809248,0.028901734104046242,0.07514450867052024,0.1329479768786127,0.0,0.11560693641618497,0.0,0.27167630057803466,0.017341040462427744,0.1329479768786127
6.0,0.007751937984496124,0.031007751937984496,0.07751937984496124,0.08527131782945736,0.09302325581395349,0.015503875968992248,0.0,0.046511627906976744,0.03875968992248062,0.08527131782945736,0.03875968992248062,0.10852713178294573,0.18604651162790697,0.0,0.03875968992248062,0.06976744186046512,0.015503875968992248,0.10077519379844961,0.046511627906976744,0.29457364341085274,0.0,0.046511627906976744,0.0,0.023255813953488372,0.023255813953488372,0.015503875968992248,0.03875968992248062,0.0,0.10852713178294573,0.10077519379844961,0.32558139534883723,0.007751937984496124,0.0,0.0,0.015503875968992248,0.06976744186046512,0.11627906976744186,0.007751937984496124,0.13178294573643412,0.10852713178294573,0.023255813953488372,0.031007751937984496,0.2868217054263566,0.03875968992248062,0.031007751937984496,0.046511627906976744,0.11627906976744186,0.26356589147286824,0.10077519379844961,0.10077519379844961,0.015503875968992248,0.11627906976744186,0.015503875968992248,0.3488372093023256,0.12403100775193798,0.03875968992248062,0.27906976744186046,0.06201550387596899,0.03875968992248062,0.015503875968992248,0.023255813953488372,0.023255813953488372,0.13178294573643412,0.12403100775193798,0.0,0.08527131782945736,0.007751937984496124,0.3178294573643411,0.023255813953488372,0.10852713178294573
7.0,0.01652892561983471,0.024793388429752067,0.01652892561983471,0.08264462809917356,0.0743801652892562,0.008264462809917356,0.0,0.008264462809917356,0.01652892561983471,0.06611570247933884,0.01652892561983471,0.10743801652892562,0.09090909090909091,0.008264462809917356,0.008264462809917356,0.024793388429752067,0.0,0.05785123966942149,0.024793388429752067,0.2231404958677686,0.0,0.03305785123966942,0.0,0.024793388429752067,0.008264462809917356,0.008264462809917356,0.049586776859504134,0.0,0.10743801652892562,0.05785123966942149,0.2644628099173554,0.0,0.0,0.0,0.008264462809917356,0.05785123966942149,0.09090909090909091,0.01652892561983471,0.11570247933884298,0.09917355371900827,0.03305785123966942,0.024793388429752067,0.24793388429752067,0.008264462809917356,0.008264462809917356,0.04132231404958678,0.09917355371900827,0.1487603305785124,0.09090909090909091,0.06611570247933884,0.0,0.049586776859504134,0.008264462809917356,0.2066115702479339,0.08264462809917356,0.0,0.19008264462809918,0.049586776859504134,0.04132231404958678,0.0,0.008264462809917356,0.01652892561983471,0.11570247933884298,0.06611570247933884,0.0,0.08264462809917356,0.0,0.24793388429752067,0.03305785123966942,0.09917355371900827
8.0,0.0,0.010752688172043012,0.07526881720430108,0.0967741935483871,0.08602150537634409,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.021505376344086023,0.08602150537634409,0.03225806451612903,0.06451612903225806,0.1827956989247312,0.010752688172043012,0.053763440860215055,0.06451612903225806,0.0,0.053763440860215055,0.021505376344086023,0.21505376344086022,0.0,0.053763440860215055,0.0,0.0,0.043010752688172046,0.0,0.03225806451612903,0.0,0.08602150537634409,0.0967741935483871,0.2903225806451613,0.0,0.0,0.0,0.010752688172043012,0.07526881720430108,0.15053763440860216,0.021505376344086023,0.0967741935483871,0.0967741935483871,0.010752688172043012,0.043010752688172046,0.27956989247311825,0.021505376344086023,0.0,0.043010752688172046,0.07526881720430108,0.1935483870967742,0.12903225806451613,0.11827956989247312,0.0,0.06451612903225806,0.010752688172043012,0.26881720430107525,0.13978494623655913,0.0,0.23655913978494625,0.08602150537634409,0.043010752688172046,0.010752688172043012,0.03225806451612903,0.010752688172043012,0.10752688172043011,0.10752688172043011,0.0,0.08602150537634409,0.010752688172043012,0.21505376344086022,0.021505376344086023,0.0967741935483871
9.0,0.0,0.06896551724137931,0.05172413793103448,0.15517241379310345,0.034482758620689655,0.0,0.0,0.017241379310344827,0.05172413793103448,0.13793103448275862,0.017241379310344827,0.10344827586206896,0.22413793103448276,0.0,0.017241379310344827,0.0,0.0,0.06896551724137931,0.034482758620689655,0.22413793103448276,0.017241379310344827,0.05172413793103448,0.017241379310344827,0.0,0.0,0.017241379310344827,0.034482758620689655,0.0,0.13793103448275862,0.05172413793103448,0.3103448275862069,0.0,0.0,0.017241379310344827,0.0,0.08620689655172414,0.034482758620689655,0.0,0.15517241379310345,0.15517241379310345,0.034482758620689655,0.017241379310344827,0.20689655172413793,0.034482758620689655,0.017241379310344827,0.034482758620689655,0.034482758620689655,0.1724137931034483,0.05172413793103448,0.1206896551724138,0.0,0.05172413793103448,0.0,0.25862068965517243,0.08620689655172414,0.0,0.1724137931034483,0.08620689655172414,0.034482758620689655,0.0,0.017241379310344827,0.0,0.1206896551724138,0.1206896551724138,0.0,0.1206896551724138,0.0,0.2413793103448276,0.0,0.08620689655172414
10.0,0.0,0.041666666666666664,0.0625,0.0625,0.08333333333333333,0.020833333333333332,0.0,0.0,0.0,0.10416666666666667,0.041666666666666664,0.08333333333333333,0.1875,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.020833333333333332,0.3125,0.020833333333333332,0.041666666666666664,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.16666666666666666,0.020833333333333332,0.4166666666666667,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.14583333333333334,0.0625,0.041666666666666664,0.041666666666666664,0.25,0.020833333333333332,0.0,0.020833333333333332,0.125,0.25,0.020833333333333332,0.125,0.0,0.08333333333333333,0.0,0.3333333333333333,0.10416666666666667,0.020833333333333332,0.2708333333333333,0.08333333333333333,0.0625,0.020833333333333332,0.0,0.0,0.125,0.125,0.0,0.041666666666666664,0.0,0.2916666666666667,0.0,0.10416666666666667
