What is the monthly total income of your household (KES)?,Given the chosen climate event - which 3 items are most useful to you?_Borehole,Given the chosen climate event - which 3 items are most useful to you?_Donkey and Cart,Given the chosen climate event - which 3 items are most useful to you?_Irrigation,Given the chosen climate event - which 3 items are most useful to you?_Hospital,Given the chosen climate event - which 3 items are most useful to you?_Rainwater Harvesting System,Given the chosen climate event - which 3 items are most useful to you?_Electricity,Given the chosen climate event - which 3 items are most useful to you?_Gas Stove,Given the chosen climate event - which 3 items are most useful to you?_River,Given the chosen climate event - which 3 items are most useful to you?_Water,Given the chosen climate event - which 3 items are most useful to you?_Money,Given the chosen climate event - which 3 items are most useful to you?_Furniture,Given the chosen climate event - which 3 items are most useful to you?_House,Given the chosen climate event - which 3 items are most useful to you?_Mobile Phone,Given the chosen climate event - which 3 items are most useful to you?_Vegetables,Given the chosen climate event - which 3 items are most useful to you?_Clothes,Given the chosen climate event - which 3 items are most useful to you?_Bike,Given the chosen climate event - which 3 items are most useful to you?_Jerrycan,Given the chosen climate event - which 3 items are most useful to you?_Solar PV System,Given the chosen climate event - which 3 items are most useful to you?_Water Pump,Given the chosen climate event - which 3 items are most useful to you?_Bible,Given the chosen climate event - which 3 items are most useful to you?_Crops,Given the chosen climate event - which 3 items are most useful to you?_Charcoal Stove,Given the chosen climate event - which 3 items are most useful to you?_Car,Given the chosen climate event - which 3 items are most useful to you?_Watering Can,Given the chosen climate event - which 3 items are most useful to you?_Wood Stove,Given the chosen climate event - which 3 items are most useful to you?_Wheelbarrow,Given the chosen climate event - which 3 items are most useful to you?_Fire,Given the chosen climate event - which 3 items are most useful to you?_Doctor,Given the chosen climate event - which 3 items are most useful to you?_Fan,Given the chosen climate event - which 3 items are most useful to you?_Shower,Given the chosen climate event - which 3 items are most useful to you?_Chicken,Given the chosen climate event - which 3 items are most useful to you?_Overhead Water Tank,Given the chosen climate event - which 3 items are most useful to you?_Corrugated Iron Sheet,Given the chosen climate event - which 3 items are most useful to you?_Light Bulb,Given the chosen climate event - which 3 items are most useful to you?_Road,Given the chosen climate event - which 3 items are most useful to you?_Motorcycle,Given the chosen climate event - which 3 items are most useful to you?_Generator,Given the chosen climate event - which 3 items are most useful to you?_School,Given the chosen climate event - which 3 items are most useful to you?_Grain Mill,Given the chosen climate event - which 3 items are most useful to you?_Battery,Given the chosen climate event - which 3 items are most useful to you?_Boat,Given the chosen climate event - which 3 items are most useful to you?_Computer,Given the chosen climate event - which 3 items are most useful to you?_Medicine,Given the chosen climate event - which 3 items are most useful to you?_Kerosene Lantern,Given the chosen climate event - which 3 items are most useful to you?_Fridge,Given the chosen climate event - which 3 items are most useful to you?_Disposable Sanitary Pad,Given the chosen climate event - which 3 items are most useful to you?_Fishing Net or Rod,Given the chosen climate event - which 3 items are most useful to you?_Meat,Given the chosen climate event - which 3 items are most useful to you?_Alcohol,Given the chosen climate event - which 3 items are most useful to you?_Toilet Flush,Given the chosen climate event - which 3 items are most useful to you?_Book and Pen,Given the chosen climate event - which 3 items are most useful to you?_Torch,Given the chosen climate event - which 3 items are most useful to you?_Toilet Squat
500.0,0.527027027027027,0.1891891891891892,0.04054054054054054,0.08108108108108109,0.06756756756756757,0.02702702702702703,0.0,0.04054054054054054,0.13513513513513514,0.3783783783783784,0.02702702702702703,0.14864864864864866,0.02702702702702703,0.1891891891891892,0.20270270270270271,0.013513513513513514,0.04054054054054054,0.0,0.0,0.33783783783783783,0.10810810810810811,0.0,0.04054054054054054,0.0,0.0,0.013513513513513514,0.013513513513513514,0.04054054054054054,0.013513513513513514,0.0,0.02702702702702703,0.04054054054054054,0.05405405405405406,0.0,0.02702702702702703,0.0,0.0,0.02702702702702703,0.0,0.05405405405405406,0.013513513513513514,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.013513513513513514
1000.0,0.4625,0.15,0.075,0.125,0.0125,0.0,0.025,0.0375,0.1875,0.275,0.0,0.3125,0.15,0.05,0.3375,0.025,0.0875,0.0125,0.0125,0.1625,0.05,0.0625,0.0375,0.0,0.0125,0.0125,0.025,0.0375,0.0,0.0,0.0125,0.0,0.0375,0.0,0.0,0.025,0.0125,0.025,0.0375,0.025,0.025,0.0125,0.025,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,0.503030303030303,0.10303030303030303,0.13333333333333333,0.09090909090909091,0.03636363636363636,0.012121212121212121,0.006060606060606061,0.024242424242424242,0.17575757575757575,0.3151515151515151,0.012121212121212121,0.22424242424242424,0.13333333333333333,0.048484848484848485,0.18787878787878787,0.030303030303030304,0.11515151515151516,0.006060606060606061,0.024242424242424242,0.21818181818181817,0.06060606060606061,0.024242424242424242,0.04242424242424243,0.0,0.006060606060606061,0.05454545454545454,0.01818181818181818,0.048484848484848485,0.006060606060606061,0.006060606060606061,0.012121212121212121,0.01818181818181818,0.01818181818181818,0.0,0.012121212121212121,0.09090909090909091,0.03636363636363636,0.024242424242424242,0.01818181818181818,0.03636363636363636,0.012121212121212121,0.0,0.030303030303030304,0.0,0.0,0.006060606060606061,0.0,0.0,0.0,0.0,0.006060606060606061,0.012121212121212121,0.0
5000.0,0.47533632286995514,0.1210762331838565,0.15246636771300448,0.04484304932735426,0.08071748878923767,0.04035874439461883,0.0,0.03587443946188341,0.23318385650224216,0.33183856502242154,0.013452914798206279,0.17937219730941703,0.13901345291479822,0.04484304932735426,0.17937219730941703,0.026905829596412557,0.13004484304932734,0.03587443946188341,0.03139013452914798,0.16591928251121077,0.03139013452914798,0.04035874439461883,0.04035874439461883,0.004484304932735426,0.008968609865470852,0.02242152466367713,0.017937219730941704,0.03587443946188341,0.004484304932735426,0.0,0.013452914798206279,0.04035874439461883,0.04932735426008968,0.004484304932735426,0.004484304932735426,0.08520179372197309,0.013452914798206279,0.013452914798206279,0.013452914798206279,0.02242152466367713,0.026905829596412557,0.0,0.008968609865470852,0.0,0.0,0.008968609865470852,0.008968609865470852,0.0,0.0,0.0,0.004484304932735426,0.0,0.0
10000.0,0.4631578947368421,0.21052631578947367,0.11052631578947368,0.07368421052631578,0.1,0.05789473684210526,0.010526315789473684,0.042105263157894736,0.17894736842105263,0.23684210526315788,0.015789473684210527,0.23684210526315788,0.1736842105263158,0.031578947368421054,0.24210526315789474,0.015789473684210527,0.12105263157894737,0.021052631578947368,0.005263157894736842,0.1631578947368421,0.015789473684210527,0.031578947368421054,0.06315789473684211,0.0,0.0,0.021052631578947368,0.010526315789473684,0.02631578947368421,0.005263157894736842,0.0,0.015789473684210527,0.03684210526315789,0.05263157894736842,0.010526315789473684,0.015789473684210527,0.06315789473684211,0.015789473684210527,0.0,0.010526315789473684,0.015789473684210527,0.015789473684210527,0.010526315789473684,0.021052631578947368,0.0,0.005263157894736842,0.0,0.010526315789473684,0.005263157894736842,0.005263157894736842,0.0,0.0,0.005263157894736842,0.0
15000.0,0.47619047619047616,0.17142857142857143,0.1523809523809524,0.06666666666666667,0.05714285714285714,0.06666666666666667,0.01904761904761905,0.02857142857142857,0.19047619047619047,0.24761904761904763,0.0,0.17142857142857143,0.1619047619047619,0.0380952380952381,0.19047619047619047,0.02857142857142857,0.08571428571428572,0.009523809523809525,0.01904761904761905,0.20952380952380953,0.05714285714285714,0.05714285714285714,0.047619047619047616,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.009523809523809525,0.0,0.0380952380952381,0.05714285714285714,0.047619047619047616,0.0,0.01904761904761905,0.02857142857142857,0.01904761904761905,0.009523809523809525,0.009523809523809525,0.01904761904761905,0.0380952380952381,0.009523809523809525,0.0,0.0,0.0,0.009523809523809525,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
20000.0,0.35135135135135137,0.17567567567567569,0.17567567567567569,0.08108108108108109,0.02702702702702703,0.06756756756756757,0.0,0.0,0.14864864864864866,0.2972972972972973,0.0,0.13513513513513514,0.1891891891891892,0.04054054054054054,0.17567567567567569,0.04054054054054054,0.10810810810810811,0.05405405405405406,0.05405405405405406,0.21621621621621623,0.10810810810810811,0.05405405405405406,0.05405405405405406,0.013513513513513514,0.0,0.013513513513513514,0.0,0.02702702702702703,0.013513513513513514,0.0,0.02702702702702703,0.04054054054054054,0.0,0.0,0.02702702702702703,0.06756756756756757,0.04054054054054054,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.013513513513513514,0.0,0.02702702702702703,0.0,0.06756756756756757,0.0,0.0,0.0,0.0,0.013513513513513514,0.0
25000.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.0,0.0,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.375,0.0,0.20833333333333334,0.16666666666666666,0.125,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.20833333333333334,0.125,0.0,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.125,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664
30000.0,0.37142857142857144,0.17142857142857143,0.14285714285714285,0.0,0.08571428571428572,0.05714285714285714,0.02857142857142857,0.11428571428571428,0.2571428571428571,0.3142857142857143,0.0,0.11428571428571428,0.05714285714285714,0.0,0.2,0.05714285714285714,0.08571428571428572,0.0,0.02857142857142857,0.34285714285714286,0.2,0.02857142857142857,0.05714285714285714,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0
35000.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
