Total household size,Given the chosen climate event - which 3 items are most useful to you?_Borehole,Given the chosen climate event - which 3 items are most useful to you?_Donkey and Cart,Given the chosen climate event - which 3 items are most useful to you?_Irrigation,Given the chosen climate event - which 3 items are most useful to you?_Hospital,Given the chosen climate event - which 3 items are most useful to you?_Rainwater Harvesting System,Given the chosen climate event - which 3 items are most useful to you?_Electricity,Given the chosen climate event - which 3 items are most useful to you?_Gas Stove,Given the chosen climate event - which 3 items are most useful to you?_River,Given the chosen climate event - which 3 items are most useful to you?_Water,Given the chosen climate event - which 3 items are most useful to you?_Money,Given the chosen climate event - which 3 items are most useful to you?_Furniture,Given the chosen climate event - which 3 items are most useful to you?_House,Given the chosen climate event - which 3 items are most useful to you?_Mobile Phone,Given the chosen climate event - which 3 items are most useful to you?_Vegetables,Given the chosen climate event - which 3 items are most useful to you?_Clothes,Given the chosen climate event - which 3 items are most useful to you?_Bike,Given the chosen climate event - which 3 items are most useful to you?_Jerrycan,Given the chosen climate event - which 3 items are most useful to you?_Solar PV System,Given the chosen climate event - which 3 items are most useful to you?_Water Pump,Given the chosen climate event - which 3 items are most useful to you?_Bible,Given the chosen climate event - which 3 items are most useful to you?_Crops,Given the chosen climate event - which 3 items are most useful to you?_Charcoal Stove,Given the chosen climate event - which 3 items are most useful to you?_Car,Given the chosen climate event - which 3 items are most useful to you?_Watering Can,Given the chosen climate event - which 3 items are most useful to you?_Wood Stove,Given the chosen climate event - which 3 items are most useful to you?_Wheelbarrow,Given the chosen climate event - which 3 items are most useful to you?_Fire,Given the chosen climate event - which 3 items are most useful to you?_Doctor,Given the chosen climate event - which 3 items are most useful to you?_Fan,Given the chosen climate event - which 3 items are most useful to you?_Shower,Given the chosen climate event - which 3 items are most useful to you?_Chicken,Given the chosen climate event - which 3 items are most useful to you?_Overhead Water Tank,Given the chosen climate event - which 3 items are most useful to you?_Corrugated Iron Sheet,Given the chosen climate event - which 3 items are most useful to you?_Light Bulb,Given the chosen climate event - which 3 items are most useful to you?_Road,Given the chosen climate event - which 3 items are most useful to you?_Motorcycle,Given the chosen climate event - which 3 items are most useful to you?_Generator,Given the chosen climate event - which 3 items are most useful to you?_School,Given the chosen climate event - which 3 items are most useful to you?_Grain Mill,Given the chosen climate event - which 3 items are most useful to you?_Battery,Given the chosen climate event - which 3 items are most useful to you?_Boat,Given the chosen climate event - which 3 items are most useful to you?_Computer,Given the chosen climate event - which 3 items are most useful to you?_Medicine,Given the chosen climate event - which 3 items are most useful to you?_Kerosene Lantern,Given the chosen climate event - which 3 items are most useful to you?_Fridge,Given the chosen climate event - which 3 items are most useful to you?_Disposable Sanitary Pad,Given the chosen climate event - which 3 items are most useful to you?_Fishing Net or Rod,Given the chosen climate event - which 3 items are most useful to you?_Meat,Given the chosen climate event - which 3 items are most useful to you?_Alcohol,Given the chosen climate event - which 3 items are most useful to you?_Toilet Flush,Given the chosen climate event - which 3 items are most useful to you?_Book and Pen,Given the chosen climate event - which 3 items are most useful to you?_Torch,Given the chosen climate event - which 3 items are most useful to you?_Toilet Squat
1.0,0.44,0.08,0.24,0.08,0.04,0.08,0.04,0.08,0.16,0.16,0.0,0.16,0.12,0.0,0.2,0.0,0.08,0.04,0.0,0.2,0.12,0.2,0.0,0.0,0.0,0.04,0.04,0.12,0.0,0.0,0.0,0.12,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5263157894736842,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.07894736842105263,0.10526315789473684,0.0,0.02631578947368421,0.2894736842105263,0.18421052631578946,0.02631578947368421,0.13157894736842105,0.07894736842105263,0.05263157894736842,0.13157894736842105,0.02631578947368421,0.15789473684210525,0.02631578947368421,0.0,0.13157894736842105,0.02631578947368421,0.10526315789473684,0.0,0.0,0.0,0.07894736842105263,0.0,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.05263157894736842,0.10526315789473684,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.02631578947368421,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.5161290322580645,0.1935483870967742,0.08602150537634409,0.021505376344086023,0.07526881720430108,0.06451612903225806,0.021505376344086023,0.043010752688172046,0.0967741935483871,0.2903225806451613,0.0,0.21505376344086022,0.11827956989247312,0.010752688172043012,0.34408602150537637,0.043010752688172046,0.13978494623655913,0.021505376344086023,0.021505376344086023,0.21505376344086022,0.021505376344086023,0.03225806451612903,0.053763440860215055,0.0,0.021505376344086023,0.0,0.010752688172043012,0.010752688172043012,0.0,0.0,0.03225806451612903,0.03225806451612903,0.07526881720430108,0.010752688172043012,0.0,0.043010752688172046,0.03225806451612903,0.0,0.010752688172043012,0.03225806451612903,0.021505376344086023,0.0,0.010752688172043012,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.4935064935064935,0.15584415584415584,0.12987012987012986,0.09740259740259741,0.045454545454545456,0.05194805194805195,0.012987012987012988,0.012987012987012988,0.19480519480519481,0.35064935064935066,0.006493506493506494,0.2077922077922078,0.1038961038961039,0.1038961038961039,0.18831168831168832,0.045454545454545456,0.05194805194805195,0.012987012987012988,0.012987012987012988,0.24025974025974026,0.05844155844155844,0.05194805194805195,0.032467532467532464,0.0,0.0,0.01948051948051948,0.025974025974025976,0.01948051948051948,0.0,0.0,0.006493506493506494,0.025974025974025976,0.01948051948051948,0.0,0.012987012987012988,0.045454545454545456,0.032467532467532464,0.025974025974025976,0.006493506493506494,0.045454545454545456,0.01948051948051948,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0
5.0,0.4508670520231214,0.16184971098265896,0.09826589595375723,0.057803468208092484,0.06936416184971098,0.03468208092485549,0.005780346820809248,0.03468208092485549,0.2138728323699422,0.31213872832369943,0.011560693641618497,0.1791907514450867,0.14450867052023122,0.06358381502890173,0.1791907514450867,0.04046242774566474,0.09826589595375723,0.05202312138728324,0.028901734104046242,0.24277456647398843,0.05202312138728324,0.023121387283236993,0.023121387283236993,0.005780346820809248,0.005780346820809248,0.03468208092485549,0.0,0.046242774566473986,0.011560693641618497,0.0,0.005780346820809248,0.03468208092485549,0.017341040462427744,0.005780346820809248,0.0,0.06358381502890173,0.028901734104046242,0.005780346820809248,0.017341040462427744,0.023121387283236993,0.023121387283236993,0.011560693641618497,0.011560693641618497,0.0,0.005780346820809248,0.005780346820809248,0.028901734104046242,0.0,0.0,0.005780346820809248,0.0,0.005780346820809248,0.0
6.0,0.4728682170542636,0.18604651162790697,0.12403100775193798,0.06201550387596899,0.05426356589147287,0.046511627906976744,0.007751937984496124,0.05426356589147287,0.18604651162790697,0.2868217054263566,0.0,0.24806201550387597,0.17054263565891473,0.03875968992248062,0.18604651162790697,0.031007751937984496,0.12403100775193798,0.015503875968992248,0.007751937984496124,0.15503875968992248,0.03875968992248062,0.031007751937984496,0.031007751937984496,0.007751937984496124,0.0,0.007751937984496124,0.015503875968992248,0.031007751937984496,0.0,0.0,0.031007751937984496,0.03875968992248062,0.06201550387596899,0.0,0.023255813953488372,0.046511627906976744,0.015503875968992248,0.023255813953488372,0.015503875968992248,0.03875968992248062,0.007751937984496124,0.0,0.023255813953488372,0.0,0.031007751937984496,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.007751937984496124,0.007751937984496124
7.0,0.4214876033057851,0.15702479338842976,0.10743801652892562,0.09090909090909091,0.05785123966942149,0.04132231404958678,0.008264462809917356,0.049586776859504134,0.1652892561983471,0.2975206611570248,0.024793388429752067,0.2231404958677686,0.14049586776859505,0.03305785123966942,0.2066115702479339,0.06611570247933884,0.10743801652892562,0.008264462809917356,0.024793388429752067,0.19834710743801653,0.09917355371900827,0.024793388429752067,0.05785123966942149,0.0,0.0,0.008264462809917356,0.03305785123966942,0.04132231404958678,0.0,0.0,0.008264462809917356,0.03305785123966942,0.04132231404958678,0.0,0.01652892561983471,0.05785123966942149,0.0,0.008264462809917356,0.01652892561983471,0.03305785123966942,0.03305785123966942,0.0,0.024793388429752067,0.0,0.0,0.024793388429752067,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.40860215053763443,0.15053763440860216,0.12903225806451613,0.043010752688172046,0.043010752688172046,0.021505376344086023,0.021505376344086023,0.0,0.22580645161290322,0.24731182795698925,0.03225806451612903,0.1827956989247312,0.10752688172043011,0.053763440860215055,0.20430107526881722,0.021505376344086023,0.11827956989247312,0.0,0.021505376344086023,0.22580645161290322,0.06451612903225806,0.021505376344086023,0.08602150537634409,0.0,0.0,0.043010752688172046,0.010752688172043012,0.08602150537634409,0.021505376344086023,0.0,0.053763440860215055,0.053763440860215055,0.053763440860215055,0.0,0.021505376344086023,0.0967741935483871,0.0,0.010752688172043012,0.0,0.0,0.021505376344086023,0.010752688172043012,0.0,0.0,0.021505376344086023,0.0,0.03225806451612903,0.010752688172043012,0.0,0.0,0.010752688172043012,0.010752688172043012,0.0
9.0,0.46551724137931033,0.15517241379310345,0.13793103448275862,0.1206896551724138,0.05172413793103448,0.0,0.0,0.05172413793103448,0.20689655172413793,0.3103448275862069,0.0,0.10344827586206896,0.15517241379310345,0.05172413793103448,0.15517241379310345,0.0,0.1724137931034483,0.0,0.034482758620689655,0.22413793103448276,0.1206896551724138,0.0,0.034482758620689655,0.017241379310344827,0.0,0.0,0.017241379310344827,0.05172413793103448,0.034482758620689655,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.0,0.0,0.1206896551724138,0.0,0.034482758620689655,0.017241379310344827,0.034482758620689655,0.017241379310344827,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827
10.0,0.4166666666666667,0.1875,0.10416666666666667,0.10416666666666667,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.1875,0.22916666666666666,0.0,0.2708333333333333,0.1875,0.041666666666666664,0.3541666666666667,0.0,0.0625,0.0,0.0,0.20833333333333334,0.08333333333333333,0.020833333333333332,0.08333333333333333,0.0,0.0,0.125,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.041666666666666664,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0
